SOURCE_SHEET,ROW_TYPE,VT_TEMPLATE_NAME_TXT,VT_VIEW_TYPE_TXT,VT_DISCIPLINE_TXT,VT_VISUAL_STYLE_TXT,VT_DETAIL_LEVEL_TXT,VT_SCALE_TXT,VT_SHADOWS_BOOL,VT_AMBIENT_OCCLUSION_BOOL,VT_SILHOUETTES_BOOL,VT_FILTERS_APPLIED_TXT,VT_PHASE_FILTER_TXT,VT_PURPOSE_TXT,VT_BACKGROUND_IMAGE_TXT,VT_COLOR_SCHEME_TXT,VT_CREATED_BY_TXT,VT_DATE_CREATED_TXT,VT_LAST_MODIFIED_TXT,VT_STATUS_TXT,VT_ISO_COMPLIANCE_TXT,Category: Views,SYS_NAME_TXT,SYS_ABBREVIATION_TXT,SYS_CODE_TXT,SYS_CLASSIFICATION_TXT,SYS_MEDIUM_TXT,SYS_TEMPERATURE_NR,SYS_PRESSURE_NR,SYS_DESIGN_VELOCITY_TXT,COLOR_R_INT,COLOR_G_INT,COLOR_B_INT,SYS_LINE_WEIGHT_INT,SYS_LINE_STYLE_TXT,SYS_MATERIAL_STANDARD_TXT,SYS_INSULATION_TYPE_TXT,SYS_APPLICABLE_STANDARDS_TXT,Category: Duct Systems / Pipe Systems,FLT_NAME_TXT,FLT_CATEGORIES_TXT,FLT_RULES_TXT,FLT_LINE_COLOR_R_INT,FLT_LINE_COLOR_G_INT,FLT_LINE_COLOR_B_INT,FLT_LINE_WEIGHT_INT,FLT_SURFACE_PATTERN_TXT,FLT_CUT_PATTERN_TXT,FLT_TRANSPARENCY_INT,FLT_USED_IN_TEMPLATES_TXT,FLT_STATUS_TXT,LS_NAME_TXT,LS_WEIGHT_INT,LS_PATTERN_TXT,USAGE_TXT,LS_STATUS_TXT,Category: Lines / Detail Items,PH_NAME_TXT,PH_NUMBER_INT,PH_DESCRIPTION_TXT,PH_START_DATE_TXT,PH_END_DATE_TXT,PH_STATUS_TXT,Category: Project Information,WS_NAME_TXT,WS_DISCIPLINE_TXT,WS_TYPE_TXT,WS_OWNER_TXT,WS_DESCRIPTION_TXT,WS_EDITABLE_DEFAULT_BOOL,WS_VISIBLE_DEFAULT_BOOL,TS_NAME_TXT,TS_FONT_NAME_TXT,TS_FONT_SIZE_NR,TS_BOLD_BOOL,TS_ITALIC_BOOL,TS_UNDERLINE_BOOL,TS_WIDTH_FACTOR_NR,TS_STATUS_TXT,Category: Text Notes / Annotations,DS_NAME_TXT,DS_TYPE_TXT,DS_TEXT_SIZE_NR,DS_TEXT_FONT_TXT,DS_TICK_MARK_TXT,DS_TICK_SIZE_NR,DS_UNITS_FORMAT_TXT,DS_PRECISION_TXT,Category: Dimensions / Spot Elevations,BI_FILENAME_TXT,BI_DIMENSIONS_TXT,BI_TOP_COLOR_TXT,BI_BOTTOM_COLOR_TXT,BI_GRADIENT_TYPE_TXT,BI_FILE_LOCATION_TXT,BI_USED_IN_TEMPLATES_TXT,BI_CREATED_DATE_TXT,BI_STATUS_TXT,OS_CATEGORY_TXT,OS_SUBCATEGORY_TXT,OS_PROJECTION_WEIGHT_INT,OS_CUT_WEIGHT_INT,OS_PATTERN_TXT,OS_MATERIAL_TXT,Category: Walls / Floors / Roofs,CP_PALETTE_NAME_TXT,CP_ELEMENT_TYPE_TXT,CP_HEX_CODE_TXT,CP_USE_CASE_TXT,CP_STYLE_TXT,MA_ELEMENT_CATEGORY_TXT,MA_ELEMENT_NAME_TXT,MA_TEMPLATE_COMPLIANCE_TXT,MA_LAST_REVIEWED_DATE_TXT,MA_REVIEWED_BY_TXT,MA_ISSUES_FOUND_TXT,MA_ACTION_REQUIRED_TXT,MA_PRIORITY_TXT,MA_STATUS_TXT,MA_NOTES_TXT,SPARE_PARAM_01_TXT,SPARE_PARAM_02_TXT,SPARE_PARAM_03_TXT,SPARE_PARAM_04_NR,SPARE_PARAM_05_INT,Category: Generic Models,PARAMETER_NAME,GUID,DATATYPE,GROUP,DESCRIPTION,Template_Name,View_Type,Discipline,Scale,Detail_Level,Visual_Style,Show_Hidden,Shadows,Ambient_Shadows,Silhouettes,Phase_Filter,VG_Scheme,Filters_Applied,Default_Workset,View_Range,Underlay,Show_Grids,Show_Levels,Show_Sections,Background_R,Background_G,Background_B,Purpose,ISO_Code,Style_Reference,Sketchy_Lines,Transparency,Background_Type,Exposure,Saturation,Contrast,White_Point,Filters,Schedule Name,Category,Fields,Sorting,Formulas,Header_Color,Text_Color,Background_Color
VIEW_TEMPLATE_SCHEDULE,DISPLAY_NAME,View template name,"View type (FloorPlan, Section, etc.)","Discipline (Architecture, Structure, MEP)",Visual style setting,"Detail level (Coarse, Medium, Fine)",View scale,Shadows enabled,Ambient occlusion enabled,Silhouettes enabled,Filters applied to template,Phase filter applied,Template purpose description,Background image filename,Color scheme applied,Template creator,Date template created,Last modification date,Template status,ISO 19650 compliance status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIEW_TEMPLATE_SCHEDULE,GUID,0411de04-abf2-4d80-862c-068ac46a593c,8dd2e735-f00f-45cd-8ff5-f339e352efab,09386aff-7006-4676-b7f1-d35ae50abb31,58999b66-3923-4ee8-b5f7-3fe2b130e131,5ebb47b9-ec84-4b5d-8f92-b2505e72fffb,f542776f-ff19-4ae9-9327-cf9261c59f8b,bd39c2cf-1ba3-42ad-87f5-39bf25ec91fb,ae6e8503-c335-4a4e-9e9e-b1f24aed6e6c,7866511b-90b5-421a-80e7-2b6dd258c608,782924d4-c5c9-42a5-9b3e-e4ab82e357b7,bd85bc44-68ea-4481-b0e0-9f8004fcaf0b,271004a6-2d40-402d-bfe7-f52c18e1be90,d4d1d2ce-a3ba-4633-afa1-ac49dfa5ae38,b52a4ede-e27b-4fc2-a867-2bf60f1f8dc5,58f258f3-83cb-4580-a1d9-1db8b10b41f0,5f97c1d7-f4ad-457a-9eac-591585cfc627,5ddaca17-fca1-4139-864e-625b18da5607,a2027425-145d-4349-9ff8-318c5e4c9d4e,98f5015e-f788-43c3-8bfc-f185040c5d23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIEW_TEMPLATE_SCHEDULE,DATA_TYPE,TEXT,TEXT,TEXT,TEXT,TEXT,TEXT,YESNO,YESNO,YESNO,TEXT,TEXT,TEXT,TEXT,TEXT,TEXT,TEXT,TEXT,TEXT,TEXT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIEW_TEMPLATE_SCHEDULE,ISO_DESCRIPTION,View template name [ISO 19650-1:2018],"View type (FloorPlan, Section, etc.) [ISO 19650-1:2018]","Discipline (Architecture, Structure, MEP) [ISO 19650-1:2018]",Visual style setting [ISO 19650-1:2018],"Detail level (Coarse, Medium, Fine) [ISO 19650-1:2018]",View scale [ISO 19650-1:2018],Shadows enabled [ISO 19650-1:2018],Ambient occlusion enabled [ISO 19650-1:2018],Silhouettes enabled [ISO 19650-1:2018],Filters applied to template [ISO 19650-1:2018],Phase filter applied [ISO 19650-1:2018],Template purpose description [ISO 19650-1:2018],Background image filename [ISO 19650-1:2018],Color scheme applied [ISO 19650-1:2018],Template creator [ISO 19650-2:2018],Date template created [ISO 19650-2:2018],Last modification date [ISO 19650-2:2018],Template status [ISO 19650-2:2018],ISO 19650 compliance status [ISO 19650-1:2018],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEP_SYSTEM_SCHEDULE,DISPLAY_NAME,,,,,,,,,,,,,,,,,,,,,System name,System abbreviation,System code,System classification,"System medium (air, water, etc.)",System design temperature,System design pressure,Design velocity,System color red component,System color green component,System color blue component,System line weight,System line style,Material standard,Insulation type,Applicable standards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEP_SYSTEM_SCHEDULE,GUID,,,,,,,,,,,,,,,,,,,,,25892b38-82b2-49a1-89ff-70795dcc3ac3,56c866cd-ccae-4b65-aa91-ea2f8f03dbec,8b946cdc-eb21-47a5-8c2d-a9671b4ed0d6,393abeb3-a7be-43d8-a8cb-709aea929ade,83b8dcea-429b-4157-9f6e-a9694b09be7f,05045ac9-c5c4-4e4c-b597-2606b962b2a9,811a5bd7-c79f-4a97-95cc-32164c8ba420,5e054f66-e3c4-4ed1-a4ca-34f79617f71d,9ad09165-8065-4fde-8114-d90d7f242041,6d717c06-9dd2-425d-b251-0d621a69b901,48b44513-37c2-49c2-bd19-926e6a5cfccd,27158dc2-ab26-41ae-b736-b5ddcd6f2874,4ad48007-7ba2-47c4-8110-11dc20d51615,1dd3b7bd-99f3-48bc-bb6c-dcc700259018,14246a76-589b-4b6c-ab1b-cb1ff88daae3,ffea8a58-370e-4783-a55b-32e5c8da41e8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEP_SYSTEM_SCHEDULE,DATA_TYPE,,,,,,,,,,,,,,,,,,,,,TEXT,TEXT,TEXT,TEXT,TEXT,NUMBER,NUMBER,TEXT,INTEGER,INTEGER,INTEGER,INTEGER,TEXT,TEXT,TEXT,TEXT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEP_SYSTEM_SCHEDULE,ISO_DESCRIPTION,,,,,,,,,,,,,,,,,,,,,System name [ISO 19650-1:2018],System abbreviation [ISO 19650-1:2018],System code [ISO 19650-1:2018],System classification [ISO 19650-1:2018],"System medium (air, water, etc.) [ISO 19650-1:2018]",System design temperature [ISO 19650-1:2018],System design pressure [ISO 19650-1:2018],Design velocity [ISO 19650-1:2018],System color red component [ISO 19650-1:2018],System color green component [ISO 19650-1:2018],System color blue component [ISO 19650-1:2018],System line weight [ISO 19650-1:2018],System line style [ISO 19650-1:2018],Material standard [ISO 19650-1:2018],Insulation type [ISO 19650-1:2018],Applicable standards [ISO 19650-1:2018],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FILTER_SCHEDULE,DISPLAY_NAME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Filter name,Categories included in filter,Filter rule definitions,Override line color red,Override line color green,Override line color blue,Override line weight,Override surface pattern,Override cut pattern,Override transparency,Templates using this filter,Filter status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FILTER_SCHEDULE,GUID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f67d3af6-c2dd-420a-a6c5-fbc2a7ebfe94,2e8bcf4e-6c4e-4a2f-9574-fff2ed2f12e1,681c249f-8e04-45b4-8409-b38f62e7a5de,a03b2e8c-aee5-40a1-9eca-d519f96c8bf9,bd79836c-16ed-4892-8cd3-785882f977ea,49c62e30-2a0b-40e7-8a7e-e2d509a4614d,fdd1c371-8d83-406f-a06b-b8ceef510a0a,420a5a84-1677-4f22-8c19-cb63c5e0c36d,5ed62329-35bb-4043-869a-0a6d50e91b41,63533f99-ac82-4f54-8e4c-720fad914924,9249912f-be7c-471f-9b5f-d10d44f6cefc,627607e2-7ea4-4410-9cc7-6d6d37a332ed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FILTER_SCHEDULE,DATA_TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TEXT,TEXT,TEXT,INTEGER,INTEGER,INTEGER,INTEGER,TEXT,TEXT,INTEGER,TEXT,TEXT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FILTER_SCHEDULE,ISO_DESCRIPTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Filter name [ISO 19650-1:2018],Categories included in filter [ISO 19650-1:2018],Filter rule definitions [ISO 19650-1:2018],Override line color red [ISO 19650-1:2018],Override line color green [ISO 19650-1:2018],Override line color blue [ISO 19650-1:2018],Override line weight [ISO 19650-1:2018],Override surface pattern [ISO 19650-1:2018],Override cut pattern [ISO 19650-1:2018],Override transparency [ISO 19650-1:2018],Templates using this filter [ISO 19650-1:2018],Filter status [ISO 19650-2:2018],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LINE_STYLE_SCHEDULE,DISPLAY_NAME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Line color red component,Line color green component,Line color blue component,,,,,,,,,,,,,,,,,,,Line style name,Line weight number,Line pattern name,Line style usage,Line style status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LINE_STYLE_SCHEDULE,GUID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15fd4dbd-7510-4d6d-9022-f7a3e2e8915f,4cb8e739-d9a7-4027-bff1-a25f7ac16dd8,806b2c59-0793-41af-aa82-146bb73f123d,,,,,,,,,,,,,,,,,,,96abafb9-537d-4e4f-843a-e616e92f77a6,5097c327-3074-4376-80de-4a755208f76a,f272830a-0ecc-4e90-9128-063ea9b97e10,7cb562d0-9ccd-4590-9435-955414cd9c0c,c416f32a-59da-493c-9a94-cc6cc238153f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LINE_STYLE_SCHEDULE,DATA_TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INTEGER,INTEGER,INTEGER,,,,,,,,,,,,,,,,,,,TEXT,INTEGER,TEXT,TEXT,TEXT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LINE_STYLE_SCHEDULE,ISO_DESCRIPTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Line color red component [ISO 19650-1:2018],Line color green component [ISO 19650-1:2018],Line color blue component [ISO 19650-1:2018],,,,,,,,,,,,,,,,,,,Line style name [ISO 19650-1:2018],Line weight number [ISO 19650-1:2018],Line pattern name [ISO 19650-1:2018],Line style usage [ISO 19650-1:2018],Line style status [ISO 19650-2:2018],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHASE_SCHEDULE,DISPLAY_NAME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Phase color red,Phase color green,Phase color blue,,,,,,,,,,,,,,,,,,,,,,,,,Phase name,Phase sequence number,Phase description,Phase start date,Phase end date,Phase status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHASE_SCHEDULE,GUID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d5e18e95-40be-4b8c-b5ab-85a2fe2ce5eb,4bffe12b-fa64-4ee9-8066-0aabe5916325,fad40afc-7bb6-41f8-be34-dd3131a27887,,,,,,,,,,,,,,,,,,,,,,,,,1468bff7-c068-4d34-937f-41138051ad4e,a9b92c2b-d5a5-47ab-a3a1-9cec4e1f4c31,590c7438-ad1b-4126-88b0-2fbe81c5759a,fc7097df-9530-4b88-b075-a5bb4a891742,49abb038-93e9-4a39-84ba-d7b3961d441e,652b46d0-949e-4a6f-b6e3-6ec1fafac962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHASE_SCHEDULE,DATA_TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INTEGER,INTEGER,INTEGER,,,,,,,,,,,,,,,,,,,,,,,,,TEXT,INTEGER,TEXT,TEXT,TEXT,TEXT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
